; 13
aferraba; 1
aferrado; 2
aferrarse; 1
aferró; 7
aficionado; 1
afligido; 1
aflojaban; 1
aflojando; 1
aflojar; 1
aflojaron; 1
afortunadamente; 1
africano; 1
afuera; 2
afueras; 2
agachada; 1
agacharon; 4
agachándose; 2
agachó; 4
agarrarán; 1
agarrándose; 1
agarró; 1
agazapada; 3
agazapados; 1
agita; 1
agitaba; 7
agitaban; 1
agitación; 2
agitada; 1
agitadamente; 1
agitado; 1
agitando; 4
agitar; 2
agitaron; 2
agitarse; 1
agito; 1
agitándola; 1
agitó; 10
agonía; 1
agosto; 2
agotados; 1
agradable; 4
agradables; 1
agradece; 1
agradecer; 2
agradecería; 1
agradecimiento; 1
agregar; 1
agreste; 2
agrietadas; 1
agua; 10
aguanta; 1
aguantaban; 1
aguantar; 1
aguante; 1
aguardaban; 1
aguda; 9
aguda; 3
agudo; 5
agudos; 3
aguja; 1
agujero; 10
agujeros; 1
agítala; 1
ah; 1
ahoga; 1
ahogado; 2
ahora; 44
ahorrarnos; 1
ahuyentando; 1
ahí; 32
ahíto; 1
aire; 70
aire; 1
ajedrez; 15
ajenjo; 2
ajo; 2
ajustó; 1
al; 362
al-algo; 1
ala; 5
alacena; 20
alacena.»; 1
aladas; 1
alanceado; 1
alargado; 1
alargarse; 1
alarmada; 1
alarmarían; 1
alas; 5
alboroto; 2
alcance; 3
alcanzaba; 1
alcanzaban; 2
alcanzando; 1
alcanzar; 2
alcanzarla; 1
alcanzarlos; 1
alcanzaron; 1
alcanzándole; 1
alcanzó; 2
alcornoque; 1
alcornoques; 1
aldea; 2
alegraba; 2
alegraron; 2
alegrarse; 2
alegrarte; 1
alegras; 1
alegremente; 9
alegres; 2
alegro; 9
alegría; 7
alegró; 2
alejaba; 5
alejaban; 4
alejada; 2
alejadas; 1
alejado; 2
alejados; 1
alejando; 1
alejaron; 1
alejarse; 4
alejándose; 2
alejó; 12
aleteaban; 1
aleteos; 1
aleteó; 1
alfil; 3
alfileres; 2
alfombra; 1
alfombras; 2
algas; 1
algo; 185
algo; 1
alguien; 37
alguna; 32
algunas; 15
alguno; 8
algunos; 13
algún; 16
aliento; 1
aliento; 2
alimentaba; 1
alimentar; 1
alimentarlos; 1
alineadas; 1
alineados; 1
aliviado; 6
aliviados; 1
alivio; 8
allanamiento; 1
allá; 7
allí; 93
alma; 2
almohada; 1
almohada; 1
almorzar; 1
almuerzo; 1
alquilado; 1
alquilarnos; 1
alquimia; 3
alquimista; 1
alrededor; 29
alta; 22
altas; 4
alta; 4
alto; 23
altos; 3
altura; 1
alumno; 2
alumnos; 28
alzaba; 1
alégrate; 1
amabilidad; 2
amable; 5
amablemente; 2
amablemente; 1
amables; 1
amable; 2
amado; 1
amainó; 1
amanecer; 1
amaneciera; 1
amaneció; 1
amante; 1
amargura; 3
amarilla; 2
amarillento; 2
amarillentos; 1
amarillo; 2
amarillos; 1
ambas; 1
ambición; 2
ambos; 5
amenazaban; 1
amenazadora; 2
amenazadoramente; 1
amenazando; 2
amenazó; 2
amiga; 6
amigo; 10
amigos; 19
aminorar; 1
aminoró; 1
amistad; 1
amistoso; 2
amontonadas; 1
amontonados; 1
amontonaron; 1
amor; 2
amoratada; 1
amortiguados; 1
amplia; 1
amplias; 1
amplio; 1
ampollaban; 1
ampollas; 1
amó; 1
anaranjadas; 1
anaranjado; 1
anaranjados; 1
ancha; 3
anchas; 1
ancho; 2
anciana; 5
ancianas; 1
anciano; 3
and; 1
anda; 3
andaba; 8
andaban; 1
andan; 2
andando; 3
andar; 13
andas; 1
andenes; 6
anduvo; 2
andéis; 1
andén; 18
angelito; 1
anguilas; 1
angustiada; 1
anhelante; 5
animaba; 1
animado; 1
animal; 4
animales; 7
animar; 2
animara; 1
animó; 2
anoche; 2
anochecer; 1
anormal; 1
anota; 1
anotaciones; 1
anotó; 1
ansiedad; 1
ansiedad; 1
ante; 48
anterior; 8
anteriores; 1
anteriormente; 1
antes; 79
anti-Artes; 1
anti-Fuerzas; 1
anticuado; 1
antigua; 3
antiguas; 1
antiguo; 4
antiguos; 2
antitrampa; 1
antojo; 1
antorchas; 2
anunciaban; 1
anunciado; 1
anuncios; 1
anunció; 2
apagado; 2
apagados; 1
apagando; 1
apagarlo; 1
apagaron; 1
apagó; 6
aparato; 1
aparcado; 1
aparcamiento; 2
aparece; 1
aparecen; 2
aparecer; 5
aparecerá; 1
aparecido; 1
apareciera; 1
aparecieron; 5
apareciesen; 1
apareció; 25
aparecía; 7
aparecían; 3
aparezca; 2
aparición; 1
apariencia; 1
apartado; 1
apartados; 2
apartar; 4
apartarse; 1
aparte; 3
apartándose; 1
apartó; 4
apasionante; 1
apellido; 3
apenas; 3
apesadumbrado; 1
apesadumbrado; 1
apestosa; 1
apiñaron; 1
aplastaban; 1
aplastada; 1
aplastadas; 1
aplastado; 4
aplastados; 1
aplastar; 1
aplastándolo; 1
aplastó; 3
aplaudiendo; 2
aplaudieron; 1
aplaudir; 1
aplaudió; 5
aplaudían; 2
aplausos; 4
aplicaciones; 2
aplicar; 1
apodera; 1
apoderado; 1
apoderando; 1
apoderarse; 2
apoderó; 1
apostado; 1
apostar; 1
apoyaba; 2
apoyaban; 1
apoyada; 2
apoyado; 1
apoyarse; 1
apoyaréis; 1
apoyándose; 1
apoyó; 2
apreciando; 1
apremio; 1
aprende; 1
aprender; 10
aprender?»; 1
aprenderemos; 1
aprenderá; 1
aprenderéis; 1
aprendería; 1
aprenderían; 1
aprendido; 7
aprendidos; 1
aprendiendo; 1
aprendéis; 1
aprendían; 1
apresurada; 1
apresuradamente; 3
apresuro; 1
apresuréis; 1
apresuró; 4
apretaba; 1
apretada; 1
apretadas; 1
apretando; 2
apretándole; 1
apretándose; 2
apretó; 4
aprobaba; 1
aprobó; 1
apropiada; 2
apropiado; 3
apropiados; 1
aproximaba; 1
aproximadamente; 1
aproximaran; 1
aproximó; 1
